vendacodigo,vendadata,clientecodigo,vendavalor
1,21/05/2018,95,3744.54
2,27/05/2018,80,303.41
3,14/05/2018,45,8391.9
4,05/05/2018,60,2782.19
5,11/05/2018,50,972.29
6,22/05/2018,64,6359.8
7,01/05/2018,86,5790.01
8,02/05/2018,83,7319.63
9,22/05/2018,48,1317.36
10,29/05/2018,8,6232.86
11,12/05/2018,69,2428.74
12,06/05/2018,57,1399.87
13,02/05/2018,1,5113.14
14,16/05/2018,46,5425.72
15,05/05/2018,50,8909.59
16,25/05/2018,25,7443.05
17,09/05/2018,90,575.29
18,14/05/2018,79,8991.71
19,08/05/2018,60,6756.11
20,28/05/2018,64,8669.61
21,06/05/2018,17,285.06
22,22/05/2018,56,4394.53
23,19/05/2018,65,9305.16
24,02/05/2018,53,843.08
25,14/05/2018,38,1772.07
26,28/05/2018,81,1525.58
27,30/05/2018,15,9095.62
28,22/05/2018,43,4949.5
29,02/05/2018,34,8729.52
30,05/05/2018,14,411.6
31,18/05/2018,73,9058.76
32,06/05/2018,57,2037.24
33,17/05/2018,22,5814.58
34,09/05/2018,100,4184.95
35,25/05/2018,31,4036.58
36,08/05/2018,19,6346.31
37,25/05/2018,8,2883.01
38,01/05/2018,5,9119.88
39,22/05/2018,9,7466.31
40,17/05/2018,20,4601.09
41,07/05/2018,42,6451.4
42,27/05/2018,67,1787.7
43,28/05/2018,86,7925.94
44,18/05/2018,68,6691.48
45,13/05/2018,23,1571.63
46,27/05/2018,61,3171.55
47,28/05/2018,44,6311.96
48,07/05/2018,66,2705.0
49,12/05/2018,84,1859.54
50,08/05/2018,39,1215.62
51,15/05/2018,85,3226.43
52,22/05/2018,74,7608.24
53,18/05/2018,47,487.91
54,12/05/2018,32,1702.48
55,29/05/2018,77,6334.16
56,30/05/2018,97,8741.87
57,30/05/2018,64,1426.44
58,10/05/2018,52,8372.19
59,12/05/2018,17,3223.01
60,06/05/2018,3,4690.74
61,25/05/2018,55,882.59
62,10/05/2018,79,1867.52
63,07/05/2018,18,493.22
64,24/05/2018,30,5214.11
65,30/05/2018,39,5142.62
66,06/05/2018,68,7215.61
67,05/05/2018,12,2248.09
68,04/05/2018,58,9749.58
69,23/05/2018,68,1983.19
70,09/05/2018,72,8632.98
71,11/05/2018,77,5745.71
72,09/05/2018,12,3103.28
73,02/05/2018,92,4209.98
74,01/05/2018,3,1755.67
75,13/05/2018,63,5816.92
76,13/05/2018,48,2372.55
77,24/05/2018,40,7081.3
78,05/05/2018,17,6894.37
79,23/05/2018,47,3320.18
80,04/05/2018,69,283.49
81,14/05/2018,23,869.61
82,20/05/2018,88,7825.89
83,29/05/2018,30,6123.1
84,20/05/2018,29,6044.14
85,26/05/2018,37,1620.79
86,02/05/2018,22,9149.99
87,25/05/2018,6,1200.95
88,08/05/2018,84,282.54
89,01/05/2018,73,6898.16
90,17/05/2018,13,5025.68
91,26/05/2018,43,6144.66
92,01/05/2018,53,7861.38
93,23/05/2018,47,2500.86
94,01/05/2018,15,4418.59
95,15/05/2018,14,8299.14
96,27/05/2018,88,7760.86
97,11/05/2018,88,7755.78
